"State","District","Level","Name","TRU","Area","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes populationFemale","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"'00","'000","India","India","Total","3287469.00","249501663","1210854977","623270258","587584719","164515253","85752254","78762999","201378372","103535314","97843058","104545716","52547215","51998501","763638812","434763622","328875190","447216165","188506636","258709529","481888868","331939875","149948993","362565571","273209976","89355595","95942413","73067137","22875276","86168706","55255858","30912848","12332802","7540768","4792034","168121650","137346213","30775437","119323297","58729899","60593398","22866367","9695797","13170570","58164984","27486479","30678505","6005366","2235762","3769604","32286580","19311861","12974719","97064448","48589581","48474867","17847735","7610532","10237203","47863565","23005463","24858102","4585018","1744338","2840680","26768130","16229248","10538882","22258849","10140318","12118531","5018632","2085265","2933367","10301419","4481016","5820403","1420348","491424","928924","5518450","3082613","2435837","728966109","291330383","437635726"
"'00","'000","India","India","Rural","3101505.41","168612897","833748852","427781058","405967794","121322865","63084449","58238416","153850848","79118287","74732561","94083844","47263733","46820111","482793835","281361374","201432461","350955017","146419684","204535333","348743092","226837013","121906079","245868421","178095330","67773091","92838752","70518883","22319869","80960135","51639997","29320138","7245894","4171000","3074894","64823640","51765450","13058190","102874671","48741683","54132988","22245886","9376425","12869461","56038173","26292225","29745948","4703586","1693786","3009800","19887026","11379247","8507779","83052011","40044579","43007432","17314593","7329916","9984677","46105181","22000055","24105126","3548611","1307709","2240902","16083626","9406899","6676727","19822660","8697104","11125556","4931293","2046509","2884784","9932992","4292170","5640822","1154975","386077","768898","3803400","1972348","1831052","485005760","200944045","284061715"
"'00","'000","India","India","Urban","102220.59","80888766","377106125","195489200","181616925","43192388","22667805","20524583","47527524","24417027","23110497","10461872","5283482","5178390","280844977","153402248","127442729","96261148","42086952","54174196","133145776","105102862","28042914","116697150","95114646","21582504","3103661","2548254","555407","5208571","3615861","1592710","5086908","3369768","1717140","103298010","85580763","17717247","16448626","9988216","6460410","620481","319372","301109","2126811","1194254","932557","1301780","541976","759804","12399554","7932614","4466940","14012437","8545002","5467435","533142","280616","252526","1758384","1005408","752976","1036407","436629","599778","10684504","6822349","3862155","2436189","1443214","992975","87339","38756","48583","368427","188846","179581","265373","105347","160026","1715050","1110265","604785","243960349","90386338","153574011"
